epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6456.84,1.32325,0.6453,0.93308,0.96561,0.94637,0.96512,0.51412,1.59231,0.68043,1.03882,0.0005941,0.0005941,0.0005941
43,6596.72,1.31789,0.63614,0.93204,0.97071,0.94996,0.97492,0.50662,1.63113,0.6885,1.05369,0.0005842,0.0005842,0.0005842
44,6759.54,1.32661,0.6414,0.93302,0.95536,0.95117,0.96813,0.5132,1.63141,0.67613,1.05163,0.0005743,0.0005743,0.0005743
45,6901.56,1.32251,0.64706,0.93558,0.96281,0.95435,0.97446,0.51753,1.6048,0.68602,1.03856,0.0005644,0.0005644,0.0005644
46,7044.56,1.34706,0.62637,0.93155,0.97026,0.94893,0.97398,0.50752,1.62528,0.68286,1.04695,0.0005545,0.0005545,0.0005545
47,7185.83,1.29805,0.62971,0.93042,0.96667,0.96381,0.97747,0.51705,1.61583,0.67772,1.04325,0.0005446,0.0005446,0.0005446
48,7327.15,1.29371,0.6296,0.92773,0.97644,0.94461,0.97281,0.51249,1.60015,0.69587,1.04138,0.0005347,0.0005347,0.0005347
49,7468.11,1.28887,0.61735,0.92965,0.9754,0.94805,0.97467,0.52282,1.61249,0.6881,1.04024,0.0005248,0.0005248,0.0005248
50,7608.63,1.26272,0.61224,0.91168,0.97095,0.94331,0.96773,0.52555,1.59961,0.67676,1.03792,0.0005149,0.0005149,0.0005149
51,7749.76,1.30922,0.61186,0.94225,0.95932,0.9541,0.97367,0.50867,1.63722,0.67847,1.03953,0.000505,0.000505,0.000505
52,7890.35,1.2458,0.60282,0.90974,0.96815,0.94363,0.97005,0.52807,1.59144,0.67816,1.03638,0.0004951,0.0004951,0.0004951
53,8031.08,1.27111,0.61408,0.91667,0.94216,0.93921,0.95694,0.50266,1.62953,0.69387,1.04804,0.0004852,0.0004852,0.0004852
54,8171.41,1.25852,0.59475,0.91961,0.96359,0.9575,0.96942,0.50674,1.63023,0.67141,1.05353,0.0004753,0.0004753,0.0004753
55,8311.62,1.26879,0.59391,0.92893,0.96235,0.94212,0.96407,0.50015,1.65987,0.69302,1.05726,0.0004654,0.0004654,0.0004654
56,8452.2,1.26671,0.59178,0.91506,0.95896,0.94749,0.96678,0.51108,1.63477,0.66634,1.04497,0.0004555,0.0004555,0.0004555
57,8592.53,1.24743,0.59181,0.91885,0.95628,0.94781,0.97038,0.50356,1.66173,0.6834,1.05273,0.0004456,0.0004456,0.0004456
58,8732.76,1.23847,0.58881,0.91537,0.9616,0.95755,0.96828,0.49913,1.6626,0.6668,1.05764,0.0004357,0.0004357,0.0004357
59,8873.11,1.2001,0.57613,0.90681,0.96593,0.95858,0.97529,0.52132,1.60507,0.65963,1.0421,0.0004258,0.0004258,0.0004258
60,9013.35,1.211,0.57638,0.91489,0.9721,0.95676,0.97264,0.51502,1.61269,0.64638,1.05026,0.0004159,0.0004159,0.0004159
61,9154.2,1.19531,0.56484,0.90784,0.97747,0.92604,0.96058,0.50357,1.63027,0.65564,1.05288,0.000406,0.000406,0.000406
62,9294.62,1.20281,0.57643,0.90418,0.96833,0.96789,0.97393,0.51793,1.61379,0.63732,1.04095,0.0003961,0.0003961,0.0003961
63,9435.36,1.19559,0.55976,0.91541,0.96418,0.95221,0.96524,0.50352,1.64302,0.65903,1.05551,0.0003862,0.0003862,0.0003862
64,9575.59,1.1831,0.55838,0.89684,0.96859,0.94294,0.96405,0.50005,1.65558,0.65377,1.05772,0.0003763,0.0003763,0.0003763
65,9716.25,1.15236,0.54041,0.89977,0.97085,0.94959,0.97171,0.51321,1.63137,0.65242,1.05126,0.0003664,0.0003664,0.0003664
66,9856.67,1.15532,0.54303,0.89863,0.96735,0.95394,0.97615,0.5113,1.63029,0.65007,1.05229,0.0003565,0.0003565,0.0003565
67,9997.23,1.1354,0.53703,0.89122,0.96338,0.96296,0.96923,0.51295,1.64147,0.64415,1.05693,0.0003466,0.0003466,0.0003466
68,10137.8,1.15902,0.55309,0.89039,0.9667,0.96415,0.9692,0.51358,1.62529,0.6414,1.05273,0.0003367,0.0003367,0.0003367
69,10280.7,1.15261,0.53498,0.89322,0.96798,0.95082,0.97048,0.51598,1.62469,0.65696,1.05186,0.0003268,0.0003268,0.0003268
70,10421.9,1.13914,0.53972,0.89119,0.95289,0.94124,0.96641,0.50608,1.62632,0.65818,1.05142,0.0003169,0.0003169,0.0003169
71,10562.2,1.12038,0.5254,0.88719,0.96276,0.96379,0.97181,0.50682,1.66269,0.65224,1.06296,0.000307,0.000307,0.000307
72,10702.6,1.10073,0.51314,0.87264,0.96579,0.95489,0.96676,0.51226,1.63013,0.6384,1.05906,0.0002971,0.0002971,0.0002971
